166
https://www.findamasters.com/masters-degrees/course/media-culture-and-society-msc/?i307d4959c64061
Media, Culture & Society - MSc
University of Glasgow
College of Social Sciences
True
The Media, Culture & Society MSc explores how media interacts with and shapes contemporary culture and society. It offers unique interdisciplinary study combining social sciences and arts approaches in the vibrant cultural and media hub of
September
FeesPlease see the university website for further information on fees for this course.
MSc
12 months full-time; 24 months part‑time
Glasgow
United Kingdom
On Campus
