3751
https://www.findamasters.com/masters-degrees/course/health-economics-and-health-technology-assessment-msc-by-research/?i307d4814c68277
Health Economics and Health Technology Assessment - MSc (by Research)
University of Glasgow
College of Medical, Veterinary & Life Sciences
True
Our aim is to be the world-leading centre for health economic and health technology assessment research and education, working to improve health and wellbeing through better decision-making.TheSchool of Health & Wellbeingspans medical and social sciences and offers students an opportunity to train in a unique and vibrant interdisciplinary environment.
See Course
FeesPlease see the university website for further information on fees for this course.
MSc,Research Only
1 Year Full Time / 2 Years Part Time
Glasgow
United Kingdom
On Campus
