2366
https://www.findamasters.com/masters-degrees/course/data-science-msc/?i136d2395c69561
Data Science MSc
Lancaster University
Department of Mathematics and Statistics
True
From business and finance to health and medicine, from infrastructure to societal studies, data science plays a vital role in all aspects of the modern world. Our MSc programme will ensure you have an advanced level of skills, knowledge, and experience in this rapidly expanding, highly in-demand field to achieve your career aspirations.
See Course
FeesPlease see the university website for further information on fees for this course.
MSc
Full time 12 Months, Part time 24 Months
Lancaster
United Kingdom
""
