2441
https://www.findamasters.com/masters-degrees/course/development-and-security-msc/?i287d6199c27333
Development and Security - MSc
University of Bristol
Faculty of Social Sciences and Law
True
This innovative programme explores the link and tensions between development and security concerns in theory and practice. Specifically, it builds on the unique combination of expertise and experience in theSchool of Sociology, Politics and International Studiesto:
September
FeesPlease see the university website for further information on fees for this course.
MSc
1 year full-time; 2 years part-time
Bristol
United Kingdom
On Campus
