4795
https://www.findamasters.com/masters-degrees/course/marine-science-msc/?i713d9040c71932
Marine Science (MSc)
KAUST
Masters programmes
True
The Marine Science (MarS) program takes advantage of KAUST’s location on the Red Sea, a living laboratory with great potential for exciting science. The program addresses the biology and ecology of the multitude of marine life forms. There is an intentional focus on the local Red Sea system, both as a primary study system and as a system with which general concepts from other marine systems can be compared.
See Course
FeesPlease see the university website for further information on fees for this course.
MSc
See Programme Description
Thuwal
Saudi Arabia
On Campus
