3084
https://www.findamasters.com/masters-degrees/course/environmental-sciences/?i1993d8791c67914
Environmental Sciences
Universität Koblenz-Landau
Masters Programmes
True
Master of Environmental SciencesTheMaster in Environmental Sciencesat the University of Kaiserslautern - Landau will enable you to understand and develop solutions for environmental issues. This 2-year degree programme combines courses from various disciplines of natural and social sciences and equips you with valuable skills to succeed in your future career.
October
FeesGerman universities are state-funded, hence, no tuition fees apply.Enrolled students only need to bear a semester contribution of ca. 185€ per semester.
MSc
2 years
Landau
Germany
On Campus
