448
https://www.findamasters.com/masters-degrees/course/accounting-and-finance-msc/?i295d3397c34568
Accounting and Finance (MSc)
University of Derby
College of Business, Law and Social Sciences
True
Offering a challenging and intellectually stimulating learning experience, our MSc Accounting and Finance prepares you for ACCA professional level examinations alongside a highly respected masters qualification.Course descriptionOffering a challenging and intellectually stimulating learning experience, our MSc Accounting and Finance prepares you for ACCA professional level examinations alongside a highly respected masters qualification.
January, September
FeesPlease see the university website for further information on fees for this course.
MSc
1 year full time, 2 years part time
Derby
United Kingdom
On Campus
