1305
https://www.findamasters.com/masters-degrees/course/behaviour-change-incorporating-pg-dip-pg-cert-msc/?i295d79c34595
Behaviour Change (incorporating PG Dip/PG Cert) (MSc)
University of Derby
College of Health, Psychology and Social Care
False
The first masters course of its kind, our MSc Behaviour Change, with its distinct pathways, opens doors to a wide range of fulfilling careers which focus on changing people’s behaviour and helping them to make positive choices.Course descriptionThe first Master’s course of its kind, our MSc Behaviour Change with its distinct pathways, opens doors to a wide range of fulfilling careers which focus on changing people’s behaviour and helping them to make positive
September
FeesPlease see the university website for further information on fees for this course.
PGDip,MSc,PGCert
3 years part time
Derby
United Kingdom
On Campus
