2600
https://www.findamasters.com/masters-degrees/course/discrete-mathematics-and-its-applications-graduate-masters-program-in-rijeka-croatia-eu/?i1553d8285c60115
Discrete Mathematics and its Applications – graduate (masters) program in Rijeka, Croatia (EU)
University of Rijeka
Masters Programs
True
Program DescriptionVisit the Discrete Mathematics and Its Applications – graduate (masters) program, Department of Mathematics, University of Rijeka pages!
October
Fees5000 EUR per year
MSc,Other
2 years
Rijeka
Croatia
On Campus
