2896
https://www.findamasters.com/masters-degrees/course/engineering-management/?i343d8925c70529
Engineering Management
University of Portsmouth
UoP London
True
This course is still being set up. For more information please contact the University of Portsmouth.
September, January
""
MSc
12 months full-time (September intake), 16 months full-time (January intake)
Portsmouth
United Kingdom
On Campus
