4985
https://www.findamasters.com/masters-degrees/course/master-of-information-management-leuven/?i729d6474c27877
Master of Information Management (Leuven)
KU Leuven
Faculty of Economics and Business
True
The Master of Science in Information Management offers non-technical training with emphasis on the efficient and effective application and management of information technology in business contexts such as finance, marketing, HR, production and logistics.Find out more about the course content, starting profile, future prospects, on the programme's websiteVisit the programme website
September
FeesPlease see the university website for further information on fees for this course.
MSc
60 ECTS (1 year)
Leuven
Belgium
On Campus
