2633
https://www.findamasters.com/masters-degrees/course/earth-sciences-msc-by-research/?i287d6198c44970
Earth Sciences - MSc by Research
University of Bristol
Faculty of Science
True
The School of Earth Sciences has strong international links, and the presence of researchers from all over the world makes for an exciting and stimulating environment. Research involves the full breadth of the earth sciences and has benefited from major investment in new laboratories and equipment in the past few years. Important initiatives include experimental and theoretical studies of the physical, chemical and biological processes of the Earth.
See Course
FeesPlease see the university website for further information on fees for this course.
MSc,Research Only
2 years full time / 4 years part time
Bristol
United Kingdom
On Campus
