1707
https://www.findamasters.com/masters-degrees/course/climate-change-msc-pgdip-pgcert/?i16d9017c42918
Climate Change (MSc/PGDip/PGCert)
Birkbeck, University of London
School of Social Sciences
True
Climate change is a multifaceted issue, with relevance across a wide range of economic sectors and policy areas. This postgraduate course offers you the chance to take a truly interdisciplinary approach to your study in climate change, engaging with academic, professional and popular
October
FeesPlease see the university website for further information on fees for this course.
MSc,PGDip,PGCert
1 year full-time or 2 years part-time
London
United Kingdom
On Campus
