4913
https://www.findamasters.com/masters-degrees/course/master-in-management/?i519d5856c63555
Master in Management
University of Deusto
Business and Management
True
This programme is ranked among the world's best programmes according to QS World University Ranking. The Official Master in Management - Deusto Business School is specifically designed for individuals with prior studies in areas other than management, to allow them to expand their knowledge in business and management in a brief, intensive programme.The content, approaches and methodologies are designed to provide theprofile of skillsand abilities that the business world is looking for, especially when it is combined with experience and skills inother areas.
September
Fees15.900€
MSc
18 months
Bilbao
Spain
On Campus
